# ZAP Scan Rules Configuration
# Format: <rule_id>	<action>	<name>
# Actions: IGNORE, WARN, FAIL
# See: https://www.zaproxy.org/docs/docker/baseline-scan/#rules-file-format
10003	WARN	Vulnerable JS Library
10010	IGNORE	Cookie No HttpOnly Flag
10011	IGNORE	Cookie Without Secure Flag
10015	WARN	Re-examine Cache-control Directives
10017	IGNORE	Cross-Domain JavaScript Source File Inclusion
10019	WARN	Content-Type Header Missing
10021	WARN	X-Content-Type-Options Header Missing
10036	WARN	Server Leaks Version Information via "Server" HTTP Response Header Field
10038	WARN	Content Security Policy (CSP) Header Not Set
10049	WARN	Storable and Cacheable Content
10055	WARN	CSP: Wildcard Directive
10096	WARN	Timestamp Disclosure
10098	WARN	Cross-Domain Misconfiguration
